POINT_ID,Depth,BD 0-20,pH_CaCl2,EC,OC,P,N,K,Clay,erosion_by_water
49704544,0-20 cm,1.147,3.8,3.13,16.7,< LOD,0.7,31.7,1.0,
49904446,0-20 cm,1.02,6.0,7.71,60.2,56.9,3.1,133.6,12.0,
49664566,0-20 cm,0.443,4.0,16.15,214.2,47.6,9.6,118.7,3.0,
53122726,,1.035,,,,,,,55.0,0.100001126527786
49684564,0-20 cm,0.597,5.2,34.6,172.3,29.1,11.8,68.8,13.0,
48924934,0-20 cm,1.07,4.4,3.17,16.9,25.9,0.8,35.3,5.0,
53882288,0-20 cm,,7.1,15.36,43.5,6.3,4.1,723.4,17.0,0.249999985098839
49704562,0-20 cm,1.331,3.3,3.1,11.8,10,0.5,16.8,3.0,
50464184,0-20 cm,1.112,6.5,18.6,21.9,55.8,2.1,130.5,24.0,
53782364,0-20 cm,,5.8,7.23,23.7,5.2,2,178.5,45.0,0.299999982118607
50364240,0-20 cm,,6.1,21.0,42.6,68.5,3.7,301.5,53.0,
49744548,0-20 cm,0.815,4.3,38.0,128.2,44.5,7.7,88.5,21.0,
50464192,0-20 cm,0.107,2.9,19.5,503.4,30.6,15.4,258.4,,
49084870,0-20 cm,0.374,3.5,10.96,149.4,25.8,4.7,90.9,5.0,
50124366,0-20 cm,0.997,3.5,2.88,11.2,< LOD,0.6,14.9,2.0,
53122770,,1.222,,,,,,,4.0,3.42100620269775
50364250,0-20 cm,0.18,3.2,18.49,218.5,19.9,8.6,182.6,4.0,
49144846,0-20 cm,0.217,4.0,30.7,197.4,14.2,7.7,133.9,,
49024904,0-20 cm,0.141,3.4,13.28,466.2,28.6,26.6,78.2,,
50464202,0-20 cm,1.499,6.3,8.89,19.2,22.6,1.7,121.1,54.0,
50464206,0-20 cm,0.88,3.9,6.93,33.8,< LOD,2.6,115.1,46.0,
49684592,0-20 cm,0.323,3.4,16.49,399.3,25.2,17.1,142.4,,
49724574,0-20 cm,1.086,4.5,10.19,77.6,15.7,5.3,46,3.0,
50344270,0-20 cm,,3.3,18.28,245.6,28.2,12.5,252.5,2.0,
49864510,0-20 cm,1.31,4.6,11.17,19.8,87.8,1.6,50.7,4.0,
50564166,0-20 cm,0.056,3.1,15.93,431.3,40.8,14.1,501,19.0,
50384260,0-20 cm,1.228,5.5,7.75,18.9,30,1.6,215.3,42.0,
50524204,0-20 cm,,6.2,8.33,12.2,53.1,1.1,83.9,11.0,
51423746,0-20 cm,0.643,6.9,42.5,77.6,10.9,5.7,51.1,,1.14285114705126e-06
50284328,0-20 cm,0.927,5.1,11.93,40.4,< LOD,3.1,134.5,23.0,
51763582,0-20 cm,0.186,6.0,125.6,429.7,28.8,27.3,152.5,,0.0
49784578,0-10 cm,,3.9,13.05,222.5,72,6.7,175.1,4.0,
49764590,0-20 cm,0.824,3.8,19.35,89,72.6,6.2,97.9,25.0,
49024940,0-20 cm,,3.5,4.82,46.9,11.1,1.4,65,7.0,
49884544,0-20 cm,1.158,3.2,6.06,32,< LOD,1.1,61.2,34.0,
51643668,0-20 cm,,5.5,43.0,86.4,25.2,6.5,86.5,16.0,0.309292793273926
49844566,0-20 cm,1.438,4.1,2.66,12.1,13,0.6,17.9,3.0,
50504250,0-20 cm,0.483,3.4,10.16,109.9,21.9,5.2,59.7,6.0,
49184882,0-20 cm,0.955,4.0,3.72,11.8,27.4,0.7,29.7,3.0,
50204400,0-10 cm,0.753,3.5,4.68,48.7,12.7,1.8,50,3.0,
53422720,0-20 cm,,6.9,14.01,18.3,< LOD,2,116.8,34.0,5.67763710021973
52523220,0-20 cm,,5.5,5.83,7.5,30,0.8,54.6,3.0,1.58080315589905
49824592,0-20 cm,1.015,4.9,14.1,48.6,40.7,3.8,111.2,13.0,
48905022,,0.687,,,,,,,15.0,
49364810,0-20 cm,0.037,3.9,44.2,413.8,10.8,16.3,635.9,,
48964996,0-20 cm,,4.4,2.78,13.1,19.7,0.7,21.9,5.0,
49344824,0-20 cm,1.076,3.3,3.37,17.7,< LOD,0.6,22.5,3.0,
50464292,,0.766,,,,,,,71.0,
50204418,0-20 cm,0.455,3.5,6.55,91.4,11,3.4,82.1,3.0,
50444306,0-20 cm,0.123,3.6,11.53,451.1,63.1,20.4,445.6,,
50504280,0-20 cm,0.452,3.2,10.92,127.7,< LOD,5.3,92.5,6.0,
53422760,0-20 cm,,5.3,13.14,36.1,< LOD,3.2,160.2,47.0,2.4290657043457
50664204,0-20 cm,1.32,5.0,12.29,27.4,74.7,2.5,202.3,36.0,
54442182,0-20 cm,,4.6,4.31,6.8,23.4,0.7,90.4,10.0,0.369986772537231
49924566,0-20 cm,0.601,3.1,8.94,80.8,24.5,3,96,4.0,
50344366,0-20 cm,1.079,4.8,4.94,23,< LOD,1.9,37.3,5.0,
50484302,0-20 cm,0.898,5.1,10.63,31,39.6,2.8,470.5,43.0,
49184918,0-20 cm,0.831,4.1,4.47,16.8,41.8,0.9,41.1,4.0,
54342262,,1.005,,,,,,,22.0,
