X,Y,HEIGHT_M,TEMP_C_MEAN,RAIN_MM,LAND_USE,LAND_COVER,CLIMATE_CLASS,SHI_OBSERVED,POINT_ID
-0.671787182540681,44.107734520011,99.74,13.19,968.74,Forestry,Woodland,15,3.15,34682394
22.2391933739063,53.5423955114694,172.01,7.73,575.1,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.25,51283450
28.2575323855598,43.6920128723999,134.95,12.37,429.36,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,3.0,57802466
-8.78134115370152,39.5459344146017,304.08,14.65,859.25,Agriculture (excluding fallow land and kitchen gardens),Cropland,9,3.45,27162028
20.4670506405928,49.1388415652929,690.75,7.42,736.88,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.7,50822946
12.4425349289428,52.1905282810922,136.96,9.61,595.26,Forestry,Woodland,15,2.5,44883234
3.53562979171089,49.5677808670038,92.74,11.06,675.18,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,3.0,38542960
9.1910373798319,49.1741572178574,178.24,10.92,722.69,Agriculture (excluding fallow land and kitchen gardens),Cropland,15,2.8,42622896
24.8023159641964,55.4689200531825,90.45,7.3,575.91,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.8,52503692
-3.92085049281135,40.3507708163597,621.85,15.73,397.08,Agriculture (excluding fallow land and kitchen gardens),Cropland,7,2.35,31402026
3.90759538081526,46.7915165542244,275.65,11.18,893.95,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.8,38562650
-6.78399884150835,39.0309860203466,213.08,17.3,472.69,Agriculture (excluding fallow land and kitchen gardens),Cropland,8,2.3,28721932
-3.07245032435048,40.2852658188787,788.12,14.67,365.72,Agriculture (excluding fallow land and kitchen gardens),Cropland,7,3.15,32102006
-1.43291458190481,53.1672281456564,138.58,9.97,810.13,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.6,35603400
16.0359973359271,49.9161446350348,296.02,9.45,598.81,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.8,47542996
18.0899182691622,45.9177366126682,109.08,11.86,650.99,Agriculture (excluding fallow land and kitchen gardens),Cropland,14,3.0,49482568
15.2694105843592,46.4379302016301,1275.6,7.37,1236.27,Forestry,Woodland,26,3.25,47262606
1.1723544311591,46.619589883869,118.71,12.34,717.78,Agriculture (excluding fallow land and kitchen gardens),Grassland,15,3.2,36462652
8.95245242348482,40.6599413019408,183.01,16.16,579.06,Agriculture (excluding fallow land and kitchen gardens),Grassland,8,2.35,42321952
-1.43564572169243,42.1134687510928,437.97,14.74,348.08,Fallow land,Bareland,14,3.1,33762184
16.6764880271691,51.6844224796059,136.42,9.39,566.31,Forestry,Woodland,26,3.2,47823196
