X,Y,POINT_ID,HEIGHT_M,TEMP_C_MEAN,RAIN_MM,LAND_USE,LAND_COVER,CLIMATE_CLASS,SHI_OBSERVED
21.4672337622118,55.4172739149644,50443648,4.73,8.35,704.99,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.9
24.5922671727542,58.260060114253,51723994,15.15,6.97,663.48,Forestry,Woodland,26,3.3
22.625911783098,58.4967738023413,50543998,20.11,7.44,572.45,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.65
24.6284725302902,58.3477805140332,51724004,14.71,6.9,682.78,Forestry,Woodland,26,3.65
23.8853856142435,58.5003033313521,51264012,34.43,7.04,622.92,Forestry,Woodland,26,3.75
24.1879455877359,58.468600235276,51444012,22.45,7.03,645.52,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.45
23.799062753515,58.6373343971863,51184026,25.87,6.99,617.91,Forestry,Woodland,26,3.65
23.9564511181287,58.7675836747938,51244042,5.35,6.86,636.45,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.85
25.1699454753923,56.9104237812812,52383854,106.94,6.8,695.51,Forestry,Woodland,26,3.2
25.0877272476437,56.9567640932311,52323858,104.06,6.87,690.03,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.2
25.0731511369737,57.0868855739982,52283872,128.55,6.82,694.67,Forestry,Woodland,26,3.75
24.5579291737078,57.2374118484027,51943882,30.62,7.22,618.8,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.15
25.0657125674512,57.2345248981187,52243888,106.54,6.93,682.45,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.4
24.632241815427,57.3390271812991,51963894,51.48,7.01,639.72,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.95
24.7952918336705,57.7423695605005,51963940,74.0,6.74,630.7,Forestry,Woodland,26,3.65
24.966877839907,57.7412849708524,52063942,63.63,6.69,643.07,Semi-natural and natural areas not in use,Grassland,26,3.7
24.7438362046165,57.7848264504766,51923944,64.31,6.74,630.7,Forestry,Woodland,26,3.7
24.7983389544081,57.8337309128093,51943950,50.02,6.74,623.38,Forestry,Woodland,26,3.6
25.0106023029146,57.8464056800196,52063954,57.6,6.69,645.22,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.15
21.2789848541142,55.5433542410163,50303660,0.17,8.44,700.98,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.55
22.9777521199284,55.3244800450149,51403654,60.65,7.62,601.97,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.0
21.4826561885757,55.4703986563559,50443654,15.81,8.35,704.99,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.8
21.5503291086056,55.4823762683498,50483656,46.43,8.24,707.13,Forestry,Woodland,26,3.3
21.794491557425,55.3323629955595,50663642,64.66,8.07,717.96,Forestry,Woodland,26,3.8
21.93941864958,55.2822370642805,50763638,55.58,7.96,716.72,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.1
21.3146158575542,55.6673691135106,50303674,23.28,8.36,699.88,Fallow land,Grassland,26,2.8
21.6704599046466,55.6713203246432,50523678,98.77,7.85,716.98,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.0
21.2406680933811,55.7466609124057,50243682,22.8,8.37,709.0,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.55
21.5711803919079,56.2078213714745,50363736,37.17,8.01,679.96,Forestry,Woodland,26,3.45
21.8529383624023,56.2729451209801,50523746,99.17,7.54,665.02,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.45
21.6034952926516,56.4231509470754,50343760,49.15,7.54,676.75,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.7
21.261644384304,56.4899585449756,50123764,28.02,7.96,694.1,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.5
21.9523013920179,56.5913353103008,50523782,75.49,7.45,628.42,Forestry,Woodland,26,3.0
21.4107684072698,56.7677420990319,50163796,29.76,7.67,660.99,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.9
21.5776577801819,56.7710917214065,50263798,42.07,7.6,662.41,Forestry,Woodland,26,3.35
21.6964868165923,56.8331752880883,50323806,60.84,7.56,652.72,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.35
21.5458956663451,56.9922231122736,50203822,17.03,7.67,646.22,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.9
23.4980909450722,55.9996750684103,51583734,98.3,7.22,548.14,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.65
23.4411574980617,56.0239872629555,51543736,97.81,7.25,546.18,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.95
22.5615141882039,56.1322717561563,50983738,87.05,7.37,576.44,Fallow land,Grassland,26,3.9
22.9416035944878,56.0941574548785,51223738,105.96,7.27,559.64,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.35
22.1283646800292,56.210672912144,50703742,104.54,7.45,618.47,Forestry,Woodland,26,3.7
22.2929383671008,56.2131285223241,50803744,91.85,7.47,600.33,Fallow land,Grassland,26,2.95
22.0136026195756,56.3671618397636,50603758,101.29,7.44,631.69,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.75
22.7762505505364,56.3843924549399,51063768,82.02,7.29,563.59,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.15
22.7502577261138,56.4052197895026,51043770,95.54,7.13,572.15,Forestry,Woodland,26,3.35
23.3936628861677,56.3576812760167,51443772,51.89,7.33,548.28,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.7
22.1167099579308,56.4849052671234,50643772,60.71,7.49,605.12,Fallow land,Grassland,26,2.65
23.838700860311,56.3101898645623,51723772,44.71,7.33,527.86,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.95
23.787909783543,56.3522484803125,51683776,41.13,7.35,532.24,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.5
22.2034211314858,56.5495401259449,50683780,76.8,7.31,594.37,Forestry,Woodland,26,3.8
22.0486385536383,56.5823491229825,50583782,57.69,7.45,613.45,Agriculture (excluding fallow land and kitchen gardens),Bareland,26,3.35
22.7538035435464,56.51427457751,51023782,108.99,6.99,578.97,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.95
22.2168960309582,56.6939753085995,50663796,79.67,7.27,597.31,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,2.5
22.2548157085017,56.7085926068859,50683798,72.6,7.28,594.55,Forestry,Woodland,26,3.75
22.6788815058905,56.6857954561895,50943800,118.88,6.93,582.8,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.8
23.5450053328457,56.5974717686047,51483800,8.08,7.51,554.69,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.3
22.5942078738689,56.7305621637087,50883804,110.09,6.96,584.93,Forestry,Woodland,26,3.5
22.7910502712978,56.8206123516755,50983816,123.41,6.89,590.89,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.0
22.6918601819017,56.9215740403917,50903826,74.09,7.1,589.42,Forestry,Woodland,26,3.05
22.5624465948319,56.9341915552033,50823826,78.46,7.07,597.22,Semi-natural and natural areas not in use,Grassland,26,3.7
23.2149220684993,56.8874504495853,51223828,55.69,7.34,574.44,Forestry,Woodland,26,3.25
22.6750435188473,57.069110972611,50863842,84.44,7.03,609.05,Forestry,Woodland,26,3.3
22.66430576113,55.4477316346364,51183664,135.34,7.4,634.77,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.95
21.795466413604,55.550547531242,50623666,84.53,7.91,711.17,Forestry,Woodland,26,3.75
22.3712677026558,55.6408872741456,50963682,182.42,7.18,675.37,Forestry,Woodland,26,3.8
22.7072005412741,55.6803254207324,51163690,147.66,7.18,617.19,Fallow land,Grassland,26,3.65
21.870268086044,55.7982269023136,50623694,127.57,7.63,705.96,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.05
22.7871758247904,55.7269221215103,51203696,126.43,7.33,588.64,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.0
21.9766945376948,55.9337854510021,50663710,141.5,7.4,690.67,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,3.6
22.6074634028495,55.8725773588988,51063710,129.0,7.29,590.17,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.1
22.8196281034328,55.9241813694335,51183718,123.92,7.27,570.39,Agriculture (excluding fallow land and kitchen gardens),Grassland,26,2.85
22.3632433486297,56.0241700992807,50883724,125.46,7.23,622.81,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.05
23.1992019687009,55.4107443174534,51523666,111.97,7.35,594.33,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.55
23.1370104723955,55.4172867718863,51483666,115.95,7.35,594.33,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.6
24.0556890800217,55.3721717958862,52063672,48.77,7.61,535.91,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.45
23.999930377402,55.3967139098839,52023674,52.35,7.61,535.91,Agriculture (excluding fallow land and kitchen gardens),Cropland,26,3.5
