n_estimators,max_features,max_samples,min_samples_split,min_samples_leaf,oob_r2,oob_rmse
200,0.25,0.8,10,5,0.3966952077258389,0.3477646689071581
500,0.25,0.8,10,5,0.398825837018715,0.34715004347346934
100,0.25,0.8,20,5,0.39424602361016103,0.34846984896765937
200,0.25,0.8,20,5,0.39433177020490673,0.34844518453162737
500,0.25,0.8,20,5,0.39549275427189656,0.3481110631964153
100,0.25,0.8,30,5,0.3915728108152233,0.3492379071511796
200,0.25,0.8,30,5,0.3927122302597219,0.34891073986890747
500,0.25,0.8,30,5,0.39247212034419765,0.348979709353507
100,0.25,0.8,10,10,0.3880925538026271,0.35023531863094304
200,0.25,0.8,10,10,0.3883423184539586,0.3501638328768442
500,0.25,0.8,10,10,0.3895078090693461,0.3498300618234893
100,0.25,0.8,20,10,0.3880925538026271,0.35023531863094304
200,0.25,0.8,20,10,0.3883423184539586,0.3501638328768442
500,0.25,0.8,20,10,0.3895078090693461,0.3498300618234893
100,0.25,0.8,30,10,0.38508327637426143,0.3510954671877106
200,0.25,0.8,30,10,0.38642848106787486,0.3507112250327288
500,0.25,0.8,30,10,0.38621330202258386,0.3507727167162295
100,0.25,0.8,10,15,0.3794553180522119,0.3526984891779423
200,0.25,0.8,10,15,0.3809392870542001,0.3522765156073986
500,0.25,0.8,10,15,0.38103404044671274,0.3522495548654083
100,0.25,0.8,20,15,0.3794553180522119,0.3526984891779423
200,0.25,0.8,20,15,0.3809392870542001,0.3522765156073986
500,0.25,0.8,20,15,0.38103404044671274,0.3522495548654083
100,0.25,0.8,30,15,0.3794553180522119,0.3526984891779423
200,0.25,0.8,30,15,0.3809392870542001,0.3522765156073986
500,0.25,0.8,30,15,0.38103404044671274,0.3522495548654083
100,0.33,0.5,10,5,0.3978587334844933,0.34742915986072254
200,0.33,0.5,10,5,0.3993805258930586,0.3469898530354212
500,0.33,0.5,10,5,0.39879495258476627,0.3471589605191035
100,0.33,0.5,20,5,0.3945182740406198,0.348391531917995
200,0.33,0.5,20,5,0.39573088168686066,0.34804249251072916
500,0.33,0.5,20,5,0.3952115549206232,0.3481920194006138
100,0.33,0.5,30,5,0.3882374448977791,0.35019385077209253
200,0.33,0.5,30,5,0.3900439601145167,0.3496764128869164
500,0.33,0.5,30,5,0.3911554264224658,0.3493576761751641
100,0.33,0.5,10,10,0.38768739116229756,0.35035125020329944
200,0.33,0.5,10,10,0.389381609419176,0.3498662180190519
500,0.33,0.5,10,10,0.3897104162037881,0.34977200706942163
100,0.33,0.5,20,10,0.38768739116229756,0.35035125020329944
200,0.33,0.5,20,10,0.389381609419176,0.3498662180190519
500,0.33,0.5,20,10,0.3897104162037881,0.34977200706942163
100,0.33,0.5,30,10,0.38361743984427277,0.3515136882265696
200,0.33,0.5,30,10,0.3862931884117462,0.3507498888529873
500,0.33,0.5,30,10,0.3867774929128849,0.35061146503807183
100,0.33,0.5,10,15,0.3809122365098644,0.35228421207981947
200,0.33,0.5,10,15,0.381672916999063,0.35206771765896333
500,0.33,0.5,10,15,0.3822023395046664,0.3519169621012748
100,0.33,0.5,20,15,0.3809122365098644,0.35228421207981947
200,0.33,0.5,20,15,0.381672916999063,0.35206771765896333
500,0.33,0.5,20,15,0.3822023395046664,0.3519169621012748
100,0.33,0.5,30,15,0.3809122365098644,0.35228421207981947
200,0.33,0.5,30,15,0.381672916999063,0.35206771765896333
500,0.33,0.5,30,15,0.3822023395046664,0.3519169621012748
100,0.33,0.632,10,5,0.39374158000116877,0.3486149134775676
200,0.33,0.632,10,5,0.3990051074448052,0.34709827945875643
500,0.33,0.632,10,5,0.4008147474562044,0.3465753162135379
100,0.33,0.632,20,5,0.393246052606537,0.3487573551735798
200,0.33,0.632,20,5,0.3950273157781,0.34824505093150676
500,0.33,0.632,20,5,0.3975110300915976,0.34752945597913976
100,0.33,0.632,30,5,0.3910216508125308,0.3493960545818524
200,0.33,0.632,30,5,0.39270090479750497,0.34891399331576994
500,0.33,0.632,30,5,0.3932489810253059,0.3487565135566267
100,0.33,0.632,10,10,0.38866066347051054,0.3500726974078672
200,0.33,0.632,10,10,0.3912722675342716,0.34932415259654176
500,0.33,0.632,10,10,0.39184160247821065,0.34916075526715196
100,0.33,0.632,20,10,0.38866066347051054,0.3500726974078672
200,0.33,0.632,20,10,0.3912722675342716,0.34932415259654176
500,0.33,0.632,20,10,0.39184160247821065,0.34916075526715196
100,0.33,0.632,30,10,0.3860373425393798,0.35082299262088384
200,0.33,0.632,30,10,0.388661427504314,0.3500724786525523
500,0.33,0.632,30,10,0.3891284508700781,0.34993873667152864
100,0.33,0.632,10,15,0.381499356743761,0.35211712571281045
200,0.33,0.632,10,15,0.3847441889307126,0.35119225725045483
500,0.33,0.632,10,15,0.384677187538047,0.3512113791582256
100,0.33,0.632,20,15,0.381499356743761,0.35211712571281045
200,0.33,0.632,20,15,0.3847441889307126,0.35119225725045483
500,0.33,0.632,20,15,0.384677187538047,0.3512113791582256
100,0.33,0.632,30,15,0.381499356743761,0.35211712571281045
200,0.33,0.632,30,15,0.3847441889307126,0.35119225725045483
500,0.33,0.632,30,15,0.384677187538047,0.3512113791582256
100,0.33,0.8,10,5,0.39839659040594066,0.347273956309069
200,0.33,0.8,10,5,0.400250767441106,0.34673838396143475
500,0.33,0.8,10,5,0.4012213881704142,0.3464576935311881
