POINT_ID,SHI,hoehe_m,Landuse,Landcover
34522098,2.8,220.61,Agriculture (excluding fallow land and kitchen gardens),Cropland
34542106,3.0,302.92,Agriculture (excluding fallow land and kitchen gardens),Cropland
34602152,2.9,314.5,Agriculture (excluding fallow land and kitchen gardens),Cropland
34882360,2.7,96.5,Agriculture (excluding fallow land and kitchen gardens),Cropland
35122538,3.15,75.56,Agriculture (excluding fallow land and kitchen gardens),Cropland
34141774,3.1,273.35,Semi-natural and natural areas not in use,Grassland
35162564,3.5,6.84,Fallow land,Grassland
34502056,2.25,433.21,Agriculture (excluding fallow land and kitchen gardens),Grassland
34902366,2.35,90.6,Agriculture (excluding fallow land and kitchen gardens),Cropland
35362710,3.45,94.44,Agriculture (excluding fallow land and kitchen gardens),Grassland
35422752,2.65,77.65,Agriculture (excluding fallow land and kitchen gardens),Cropland
34642160,2.4,417.12,Agriculture (excluding fallow land and kitchen gardens),Cropland
35142542,3.15,50.21,Agriculture (excluding fallow land and kitchen gardens),Cropland
35482790,3.1,33.18,Agriculture (excluding fallow land and kitchen gardens),Cropland
34622132,2.85,354.36,Fallow land,Bareland
35342676,3.2,179.05,Agriculture (excluding fallow land and kitchen gardens),Cropland
34461998,3.75,1264.43,Semi-natural and natural areas not in use,Grassland
34882324,3.25,151.42,Agriculture (excluding fallow land and kitchen gardens),Cropland
34662148,2.6,327.85,Agriculture (excluding fallow land and kitchen gardens),Cropland
34602092,2.95,331.96,Agriculture (excluding fallow land and kitchen gardens),Cropland
34682152,2.4,363.91,Agriculture (excluding fallow land and kitchen gardens),Cropland
35422716,2.9,56.65,Agriculture (excluding fallow land and kitchen gardens),Cropland
34702166,2.7,488.28,Agriculture (excluding fallow land and kitchen gardens),Cropland
34542034,2.9,575.42,Fallow land,Bareland
35162510,3.0,99.14,Agriculture (excluding fallow land and kitchen gardens),Grassland
35002386,2.8,92.61,Forestry,Woodland
34762196,3.75,1275.29,Semi-natural and natural areas not in use,Woodland
