POINT_ID,BD 0-20,Depth,pH_CaCl2,EC,OC,P,N,K,TH_LAT,TH_LONG,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,Clay,erosion_by_water
53623840,1.26,0-20 cm,4.8,3.67,6.7,< LOD,0.6,35.8,56.53920646,27.09475302,C10,U120,Woodland,Broadleaved woodland,Forestry,5.0,0.0249999985098839
56222748,1.154,0-20 cm,5.5,13.0,36.8,11.8,3.8,203,46.48789321,27.09940407,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),36.0,0.892145752906799
57262276,1.444,0-20 cm,5.2,7.14,11.2,4.5,1.1,66.7,42.14435199,27.103162,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),19.0,1.70562148094177
53723804,1.235,0-20 cm,3.9,3.32,13.1,44.2,0.7,11.6,56.20508152,27.11041574,C32,U120,Woodland,Pine dominated mixed woodland,Forestry,3.0,0.0
53064066,1.343,0-20 cm,6.1,8.46,19.3,23,1.7,93.7,58.62274278,27.11495076,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,6.0,0.652092635631561
57122348,1.216,0-20 cm,4.2,4.69,17.4,< LOD,1.4,154.1,42.80418445,27.12090159,C10,U120,Woodland,Broadleaved woodland,Forestry,3.0,0.0
53623848,1.083,0-20 cm,6.4,8.85,19.3,< LOD,1.5,30.6,56.60873049,27.12653478,C10,U120,Woodland,Broadleaved woodland,Forestry,6.0,0.0249999985098839
52224392,,0-20 cm,3.5,10.01,120,12,5.4,116.5,61.63733544,27.12865621,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,,
56062830,1.33,0-20 cm,5.3,8.44,15.3,< LOD,1.4,107.8,47.23674346,27.13222127,E10,U111,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),70.0,0.0
52444310,0.915,0-20 cm,3.7,5.51,36.5,< LOD,1.7,58.5,60.87683214,27.13626635,C23,U120,Woodland,Other coniferous woodland,Forestry,4.0,
56362700,1.484,0-20 cm,6.2,8.6,13.4,33.2,1.5,362.5,46.03980577,27.14008811,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,61.0,4.54553259032764e-07
57242300,1.381,0-20 cm,6.3,5.55,17.2,22.5,1.6,268.9,42.35890055,27.14052361,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens),46.0,0.338514477014542
