fid,POINTID,erosion_by_water_t_ha_yr
1134,55602316,0
1135,55602298,0.685206115245819
1136,55602208,0
1137,55602142,0.515519917011261
1138,55582864,0
1139,55582828,3.72596001625061
1140,55582810,0
1141,55582788,
1142,55582684,0.577679693698883
1143,55582576,2.38477753100597e-08
1144,55582248,0.299999982118607
1145,55582216,0.150002405047417
1146,55582104,0.860828876495361
1147,55562920,0.34518375992775
1148,55562910,0.335826873779297
1149,55562862,0.299999982118607
1150,55562694,0
1151,55562520,
1152,55562448,0.430509597063065
1153,55562404,3.78628635406494
1154,55562380,0
1155,55562362,0.337736070156097
1156,55562340,0
1157,55562326,6.7164249420166
1158,55562268,0.200001746416092
1159,55542886,0
1160,55542846,0
1161,55542822,0.328053057193756
