POINT_ID,SHI,height_m,temp_c_mean_1995_2024,rain_mmsqm_mean_1995_2024,land_use,land_cover,lon_x,lat_y,kg_climate_class_label,geom
28642250,3.15,926.91,11.75,1100.63,Agriculture,Grassland,-7.6495936,41.80885799,Csb,"c(-7.64959359677461, 41.808857987701)"
28602250,3.65,1026.99,11.75,1100.63,Fallow land,Grassland,-7.69658984,41.80044333,Csb,"c(-7.6965898420524, 41.8004433294114)"
29422254,3.25,1279.57,9.43,986.75,Forestry,Woodland,-6.74080405,42.00367699,Csb,"c(-6.74080405473171, 42.003676987217)"
29402258,3.55,1055.02,9.43,986.75,Forestry,Woodland,-6.77432841,42.03481527,Csb,"c(-6.77432841073833, 42.03481526634)"
29262270,3.3,1230.56,8.52,1202.47,Semi natural and natural,Shrubland,-6.96975734,42.1120145,Csb,"c(-6.96975733892641, 42.1120144963541)"
28662272,2.55,643.92,12.27,886.05,Fallow land,Grassland,-7.6832392,42.00569603,Csb,"c(-7.68323919589858, 42.0056960311306)"
29222276,3.75,1190.97,10.25,1131.85,Semi natural and natural,Shrubland,-7.03218093,42.15655632,Csb,"c(-7.03218092971658, 42.1565563177886)"
29162278,3.6,796.9,12.06,1021.3,Semi natural and natural,Shrubland,-7.10823142,42.16189389,Csb,"c(-7.10823142198925, 42.16189388971)"
29082288,3.55,1155.01,9.89,1222.57,Semi natural and natural,Shrubland,-7.22839341,42.23321011,Csb,"c(-7.22839340906318, 42.2332101111496)"
29122288,3.45,810.61,11.9,1019.63,Agriculture,Grassland,-7.18102144,42.24141281,Csb,"c(-7.18102144262002, 42.2414128079464)"
28762288,3.45,763.52,12.23,899.57,Semi natural and natural,Woodland,-7.60695896,42.166790399999996,Csb,"c(-7.60695896312002, 42.166790398059)"
28902396,3.75,498.98,12.28,1221.63,Forestry,Woodland,-7.72684766,43.14110222,Csb,"c(-7.72684765557872, 43.141102216931)"
28002400,3.75,321.1,13,2146.18,Agriculture,Cropland,-8.81542283,42.97971315,Csb,"c(-8.81542282576245, 42.9797131474837)"
28342404,3.85,311.97,13.48,1457.93,Forestry,Woodland,-8.42020305,43.09010228,Csb,"c(-8.42020305476391, 43.0901022820448)"
28082404,3.6,414.62,12.53,1945.34,Forestry,Woodland,-8.73123893,43.03246401,Csb,"c(-8.73123893286855, 43.0324640147053)"
27962406,3.85,317.65,12.64,2021.52,Agriculture,Cropland,-8.88033764,43.02295197,Csb,"c(-8.88033763603209, 43.022951970426)"
29002406,3.65,518.26,12.35,1197.66,Forestry,Woodland,-7.63365799,43.24964472,Csb,"c(-7.6336579854214, 43.2496447215616)"
27922412,3.75,384.28,12.8,2065.16,Forestry,Woodland,-8.94535755,43.06614316,Csb,"c(-8.94535755378177, 43.0661431611071)"
28582414,3.4,121.08,13.62,1212.07,Forestry,Woodland,-8.16028286,43.2297394,Csb,"c(-8.16028286454286, 43.229739401824)"
